dataset,method,classifier_accuracy,autoencoder_loss,best_lr,proximity,validity,margin_mean,margin_std,pred_margin_weight,step_weight_type
PhalangesOutlinesCorrect,LSTM autoencoder,0.8074448529,0.002375255339,0.0001,0.4888188356,0.9212121212,-0.0019225072,0.030574743,1,
PhalangesOutlinesCorrect,LSTM autoencoder,0.8074448529,0.002377483295,0.0001,0.4014488954,0.3696969697,-0.25464258,0.24323405,0.5,uniform
PhalangesOutlinesCorrect,LSTM autoencoder,0.8074448529,0.002375255339,0.0001,0.4439901779,0.5333333333,-0.1702908,0.23277947,0.5,example-specific
PhalangesOutlinesCorrect,LSTM autoencoder,0.8074448529,0.002377483295,0.0001,0.4071017241,0.4181818182,-0.2429561,0.24534339,0.5,global
PhalangesOutlinesCorrect,No autoencoder,0.8074448529,0,0.0001,0.02977539041,0.9393939394,-0.013863939,0.087159105,1,
PhalangesOutlinesCorrect,No autoencoder,0.8074448529,0,0.0001,0.01456332408,0.7272727273,-0.13596196,0.22292179,0.5,uniform
PhalangesOutlinesCorrect,No autoencoder,0.8074448529,0,0.0001,0.02855971043,0.9272727273,-0.023970691,0.10749119,0.5,example-specific
PhalangesOutlinesCorrect,No autoencoder,0.8074448529,0,0.0001,0.02823274473,0.8909090909,-0.026848305,0.11354707,0.5,global
MoteStrain,1dCNN autoencoder,0.9303167141,0.0005506709567,0.0001,0.285441594,1,0.00051999313,0.00029721603,1,
MoteStrain,1dCNN autoencoder,0.9303167141,0.0005506709567,0.0001,0.2267266767,0.8532110092,-0.045547836,0.14409009,0.5,uniform
MoteStrain,1dCNN autoencoder,0.9303167141,0.0005506709567,0.0001,0.258799553,0.9816513761,0.0004201761,0.000383451,0.5,example-specific
MoteStrain,1dCNN autoencoder,0.9303167141,0.0005506709567,0.0001,0.2528963919,1,0.00049634976,0.0002957188,0.5,global
MoteStrain,LSTM autoencoder,0.9303167141,0.002582431538,0.0001,0.4927292667,1,0.00049689604,0.0002916927,1,
MoteStrain,LSTM autoencoder,0.9303167141,0.002582431538,0.0001,0.4885858075,0.8165137615,-0.0006818668,0.0033807603,0.5,uniform
MoteStrain,LSTM autoencoder,0.9303167141,0.002582431538,0.0001,0.4904611079,0.9449541284,0.0003995272,0.0007375188,0.5,example-specific
MoteStrain,LSTM autoencoder,0.9303167141,0.002582431538,0.0001,0.4896776927,0.9174311927,0.00023846998,0.0016267331,0.5,global
MoteStrain,No autoencoder,0.9303167141,0,0.001,0.2197376837,1,0.00049524626,0.00029444706,1,
MoteStrain,No autoencoder,0.9303167141,0,0.001,0.1104453091,0.8532110092,-0.063854836,0.16737834,0.5,uniform
MoteStrain,No autoencoder,0.9303167141,0,0.001,0.1659028993,0.9908256881,0.00044675486,0.00036919187,0.5,example-specific
MoteStrain,No autoencoder,0.9303167141,0,0.001,0.1666575854,0.9816513761,0.00044688527,0.00033013898,0.5,global
MiddlePhalanxOutlineCorrect,1dCNN autoencoder,0.8344594595,0.0001714825194,0.0001,0.175207152,0.9166666667,-0.024342136,0.14230625,1,
MiddlePhalanxOutlineCorrect,1dCNN autoencoder,0.8344594595,0.0001714825194,0.0001,0.1491296446,0.8333333333,-0.06527375,0.19351251,0.5,uniform
MiddlePhalanxOutlineCorrect,1dCNN autoencoder,0.8344594595,0.0001714825194,0.0001,0.1607220337,0.9,-0.02466659,0.1920703,0.5,example-specific
MiddlePhalanxOutlineCorrect,1dCNN autoencoder,0.8344594595,0.0001714825194,0.0001,0.1598937237,0.8833333333,-0.049500253,0.17570756,0.5,global
MiddlePhalanxOutlineCorrect,LSTM autoencoder,0.8344594595,0.005483433604,0.001,1.076078782,0.9666666667,0.051544733,0.1495383,1,
MiddlePhalanxOutlineCorrect,LSTM autoencoder,0.8344594595,0.005483433604,0.001,0.5899844389,0.05,-0.47496966,0.10910092,0.5,uniform
MiddlePhalanxOutlineCorrect,LSTM autoencoder,0.8344594595,0.005483433604,0.001,0.67653886,0.1333333333,-0.43221822,0.17287982,0.5,example-specific
MiddlePhalanxOutlineCorrect,LSTM autoencoder,0.8344594595,0.005452490877,0.001,0.6680779928,0.05,-0.47497925,0.109062426,0.5,global
MiddlePhalanxOutlineCorrect,No autoencoder,0.8344594595,0,0.0001,0.03331016294,0.9833333333,-0.0077831685,0.06408248,1,
MiddlePhalanxOutlineCorrect,No autoencoder,0.8344594595,0,0.0001,0.0146197178,0.65,-0.17464693,0.2387351,0.5,uniform
MiddlePhalanxOutlineCorrect,No autoencoder,0.8344594595,0,0.0001,0.03438942411,0.9333333333,-0.0064885034,0.06473929,0.5,example-specific
